;Tweet;Sentimen;ProcessedText;step01;tokens;tokens_perbaikan;Stop_removal;step02;step03_stemmed
0;emang lemes bgt ya mulut lu, gue yg mau beli-beli obat aja mikirr, drmn bisa beli obat kalo ga kerja >:);-1.0;lemes banget iya mulut bibel obat mikirr drmn beli obat kerja;emang lemes bgt ya mulut lu gue yg mau belibeli obat aja mikirr drmn bisa beli obat kalo ga kerja;['emang', 'lemes', 'bgt', 'ya', 'mulut', 'lu', 'gue', 'yg', 'mau', 'belibeli', 'obat', 'aja', 'mikirr', 'drmn', 'bisa', 'beli', 'obat', 'kalo', 'ga', 'kerja'];['memang', 'lemes', 'banget', 'iya', 'mulut', 'kamu', 'saya', 'yang', 'mau', 'belibeli', 'obat', 'saja', 'mikirr', 'drmn', 'bisa', 'beli', 'obat', 'kalau', 'tidak', 'kerja'];['lemes', 'banget', 'iya', 'mulut', 'belibeli', 'obat', 'mikirr', 'drmn', 'beli', 'obat', 'kerja'];lemes banget iya mulut belibeli obat mikirr drmn beli obat kerja;lemes banget iya mulut bibel obat mikirr drmn beli obat kerja
1;Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....;1.0;cegah mata rantai covidmari rumah minggu;cegah mata rantai covidmari kita dirumah saja hingga hari minggu;['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];['cegah', 'mata', 'rantai', 'covidmari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];['cegah', 'mata', 'rantai', 'covidmari', 'dirumah', 'minggu'];cegah mata rantai covidmari dirumah minggu;cegah mata rantai covidmari rumah minggu
2;aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ;1.0;mohon yaallah moga wabah covid hilang ramadhan;aku mohon yaallah semoga wabah covid menghilang sebelum ramadhan datang;['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'ramadhan'];mohon yaallah semoga wabah covid menghilang ramadhan;mohon yaallah moga wabah covid hilang ramadhan
3;Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM;1.0;pemprov papua naik status tanggap darurat covid opm;pemprov papua naikkan status jadi tanggap darurat covid opm;['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm'];['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm'];['pemprov', 'papua', 'naikkan', 'status', 'tanggap', 'darurat', 'covid', 'opm'];pemprov papua naikkan status tanggap darurat covid opm;pemprov papua naik status tanggap darurat covid opm
4;Covid belum nyampe prigen mbak hmm hoax;0.0;covid nyampe prigen mbak aduh bohong;covid belum nyampe prigen mbak hmm hoax;['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];['covid', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];covid nyampe prigen mbak aduh bohong;covid nyampe prigen mbak aduh bohong
5;Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!;-1.0;nyuruh orang pintar togog kerumun orang nularin covid lol mikir;nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid lol mikir;['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir'];['nyuruh', 'orang', 'pintar', 'kamu', 'saja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir'];['nyuruh', 'orang', 'pintar', 'togog', 'kerumunan', 'orang', 'nularin', 'covid', 'lol', 'mikir'];nyuruh orang pintar togog kerumunan orang nularin covid lol mikir;nyuruh orang pintar togog kerumun orang nularin covid lol mikir
6;Pikir2 balik byk mnde plk nk setelkn lepas covid.;0.0;pikir mnde plk nk setelkn lepas covid;pikir balik byk mnde plk nk setelkn lepas covid;['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir', 'balik', 'banyak', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];pikir mnde plk nk setelkn lepas covid;pikir mnde plk nk setelkn lepas covid
7;Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.;1.0;selamat pagi jumat jumat empat pandemi covid moga kasih sehat moga;selamat pagi hari jumat jumat keempat di kala pandemi covid semoga kita semua dikasih kesehatan aamiin;['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin'];['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'semoga'];['selamat', 'pagi', 'jumat', 'jumat', 'keempat', 'pandemi', 'covid', 'semoga', 'dikasih', 'kesehatan', 'semoga'];selamat pagi jumat jumat keempat pandemi covid semoga dikasih kesehatan semoga;selamat pagi jumat jumat empat pandemi covid moga kasih sehat moga
8;Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.;1.0;hikmah musibah covid moga jabat perintah sadar depan kaya negara sejahtera rakyat indonesia kaya keluarga penting golong bela penting wna luka penting rakyat;hikmah di balik musibah covid smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas melukai kepentingan rakyat;['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'di', 'balik', 'musibah', 'covid', 'semoga', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lebih', 'mengedepankan', 'kekayaan', 'negara', 'untuk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yang', 'jelas', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'musibah', 'covid', 'semoga', 'pejabat', 'pemerintahan', 'sadar', 'mengedepankan', 'kekayaan', 'negara', 'kesejahteraan', 'rakyat', 'indonesia', 'memperkaya', 'keluarga', 'kepentingan', 'golongan', 'membela', 'kepentingan', 'wna', 'melukai', 'kepentingan', 'rakyat'];hikmah musibah covid semoga pejabat pemerintahan sadar mengedepankan kekayaan negara kesejahteraan rakyat indonesia memperkaya keluarga kepentingan golongan membela kepentingan wna melukai kepentingan rakyat;hikmah musibah covid moga jabat perintah sadar depan kaya negara sejahtera rakyat indonesia kaya keluarga penting golong bela penting wna luka penting rakyat
9;Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci;1.0;cegah covid serta jajar polsek ranji aksi peduli bagi masker gratis guna jalan giat polsek kuranjikamis febriputraguci;cegah covid beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranjikamis febriputraguci;['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranjikamis', 'febriputraguci'];['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranjikamis', 'febriputraguci'];['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'aksi', 'peduli', 'pembagian', 'masker', 'gratis', 'pengguna', 'jalan', 'kegiatan', 'polsek', 'kuranjikamis', 'febriputraguci'];cegah covid beserta jajaran polsek kuranji aksi peduli pembagian masker gratis pengguna jalan kegiatan polsek kuranjikamis febriputraguci;cegah covid serta jajar polsek ranji aksi peduli bagi masker gratis guna jalan giat polsek kuranjikamis febriputraguci
